Name,Value.1. open,Value.2. high,Value.3. low,Value.4. close,Value.5. volume
2018-08-21 14:12:00,216.3350,216.3500,216.3300,216.3300,38343
2018-08-21 14:11:00,216.3900,216.4000,216.3400,216.3400,33567
2018-08-21 14:10:00,216.4399,216.4399,216.3700,216.3700,19841
2018-08-21 14:09:00,216.3800,216.4303,216.3700,216.4303,18799
2018-08-21 14:08:00,216.5100,216.5100,216.4100,216.4100,24364
2018-08-21 14:07:00,216.4600,216.5100,216.4500,216.5100,28540
2018-08-21 14:06:00,216.3700,216.4563,216.3600,216.4563,33188
2018-08-21 14:05:00,216.3700,216.3700,216.3400,216.3400,16940
2018-08-21 14:04:00,216.3150,216.4100,216.3000,216.3799,35108
2018-08-21 14:03:00,216.3400,216.3700,216.3100,216.3378,60298
2018-08-21 14:02:00,216.4300,216.4452,216.3600,216.3600,32340
2018-08-21 14:01:00,216.4600,216.4600,216.3800,216.4500,35441
2018-08-21 14:00:00,216.5150,216.5390,216.4600,216.4601,32055
2018-08-21 13:59:00,216.5727,216.5727,216.5001,216.5001,27038
2018-08-21 13:58:00,216.5850,216.6000,216.5800,216.5800,14673
2018-08-21 13:57:00,216.5763,216.6598,216.5763,216.6000,19232
2018-08-21 13:56:00,216.5601,216.6300,216.5601,216.5700,18550
2018-08-21 13:55:00,216.6376,216.6376,216.5750,216.5750,20419
2018-08-21 13:54:00,216.6274,216.6500,216.6274,216.6500,14994
2018-08-21 13:53:00,216.6350,216.6450,216.6200,216.6300,15076
2018-08-21 13:52:00,216.7100,216.7300,216.7000,216.7000,27422
2018-08-21 13:51:00,216.5800,216.7052,216.5700,216.7052,24781
2018-08-21 13:50:00,216.4900,216.5600,216.4500,216.5600,23921
2018-08-21 13:49:00,216.5900,216.5900,216.4842,216.4842,43042
2018-08-21 13:48:00,216.6023,216.6100,216.5852,216.5900,16457
2018-08-21 13:47:00,216.5800,216.5950,216.5800,216.5910,15715
2018-08-21 13:46:00,216.5800,216.6300,216.5200,216.5800,30961
2018-08-21 13:45:00,216.6700,216.6767,216.5500,216.5700,43810
2018-08-21 13:44:00,216.7304,216.7304,216.6800,216.7000,23363
2018-08-21 13:43:00,216.7200,216.7200,216.6800,216.7000,16310
2018-08-21 13:42:00,216.8300,216.8300,216.7200,216.7200,30816
2018-08-21 13:41:00,216.8400,216.8780,216.8300,216.8300,29521
2018-08-21 13:40:00,216.8200,216.8800,216.8200,216.8500,18755
2018-08-21 13:39:00,216.7068,216.7900,216.6700,216.7900,28070
2018-08-21 13:38:00,216.6800,216.7252,216.6700,216.6700,22209
2018-08-21 13:37:00,216.6272,216.6700,216.6200,216.6600,19531
2018-08-21 13:36:00,216.6800,216.6800,216.6200,216.6336,21754
2018-08-21 13:35:00,216.7350,216.7500,216.6901,216.6901,28520
2018-08-21 13:34:00,216.7750,216.7750,216.6700,216.7300,58743
2018-08-21 13:33:00,216.8150,216.8150,216.7700,216.7751,25022
2018-08-21 13:32:00,216.8652,216.8652,216.8100,216.8100,23050
2018-08-21 13:31:00,216.9000,216.9000,216.8500,216.8700,29310
2018-08-21 13:30:00,216.9215,216.9464,216.8900,216.8900,21282
2018-08-21 13:29:00,217.0100,217.0100,216.9100,216.9100,40449
2018-08-21 13:28:00,217.1200,217.1276,217.0300,217.0400,43726
2018-08-21 13:27:00,217.1300,217.1400,217.1200,217.1200,31747
2018-08-21 13:26:00,217.0600,217.1262,217.0400,217.1262,32983
2018-08-21 13:25:00,217.0460,217.0700,217.0460,217.0500,27016
2018-08-21 13:24:00,217.1000,217.1000,217.0400,217.0500,19413
2018-08-21 13:23:00,217.0800,217.0900,217.0510,217.0900,27855
2018-08-21 13:22:00,217.1700,217.1900,217.0810,217.0990,66832
2018-08-21 13:21:00,216.9698,217.1700,216.9600,217.1625,247315
2018-08-21 13:20:00,216.9600,216.9900,216.9190,216.9600,34859
2018-08-21 13:19:00,216.8700,216.9565,216.8700,216.9565,26495
2018-08-21 13:18:00,216.8800,216.9099,216.8800,216.8900,15524
2018-08-21 13:17:00,216.8400,216.8900,216.8400,216.8750,22460
2018-08-21 13:16:00,216.8300,216.8300,216.7700,216.8300,31737
2018-08-21 13:15:00,216.9300,216.9300,216.7600,216.7900,85434
2018-08-21 13:14:00,216.9100,216.9700,216.9100,216.9141,58361
2018-08-21 13:13:00,216.7800,216.9000,216.7800,216.9000,29658
2018-08-21 13:12:00,216.7600,216.7850,216.7150,216.7800,49524
2018-08-21 13:11:00,216.8300,216.9100,216.7800,216.7900,58034
2018-08-21 13:10:00,216.9200,216.9200,216.8000,216.8200,47012
2018-08-21 13:09:00,216.9616,216.9616,216.9200,216.9220,26496
2018-08-21 13:08:00,216.9500,216.9800,216.8950,216.9600,69474
2018-08-21 13:07:00,216.9300,216.9301,216.9100,216.9300,30224
2018-08-21 13:06:00,216.9400,216.9500,216.8500,216.9300,32702
2018-08-21 13:05:00,216.9300,216.9352,216.9000,216.9350,38513
2018-08-21 13:04:00,216.9400,216.9450,216.9300,216.9410,15863
2018-08-21 13:03:00,216.9285,216.9900,216.9010,216.9400,47361
2018-08-21 13:02:00,216.8900,216.9200,216.8900,216.9152,23554
2018-08-21 13:01:00,216.8700,216.8900,216.8500,216.8800,22824
2018-08-21 13:00:00,216.8500,216.9200,216.8500,216.8650,39234
2018-08-21 12:59:00,216.7900,216.8252,216.7400,216.8252,26873
2018-08-21 12:58:00,216.8800,216.8800,216.7600,216.7600,61320
2018-08-21 12:57:00,216.9200,216.9350,216.8800,216.9100,29694
2018-08-21 12:56:00,216.9500,216.9900,216.9400,216.9400,55650
2018-08-21 12:55:00,216.8500,216.9500,216.8500,216.9500,29614
2018-08-21 12:54:00,216.8950,216.9000,216.8100,216.8700,62174
2018-08-21 12:53:00,216.9600,216.9700,216.8600,216.8800,73643
2018-08-21 12:52:00,216.8800,216.9800,216.8800,216.9550,71202
2018-08-21 12:51:00,216.7800,216.8700,216.7718,216.8600,99332
2018-08-21 12:50:00,216.7100,216.7800,216.7100,216.7771,26533
2018-08-21 12:49:00,216.7000,216.7300,216.6900,216.6900,21244
2018-08-21 12:48:00,216.6800,216.7200,216.6800,216.7200,24543
2018-08-21 12:47:00,216.6499,216.6799,216.6400,216.6799,32308
2018-08-21 12:46:00,216.5950,216.6700,216.5900,216.6500,33759
2018-08-21 12:45:00,216.5600,216.6100,216.5500,216.6100,29312
2018-08-21 12:44:00,216.5200,216.5400,216.5150,216.5300,21191
2018-08-21 12:43:00,216.4600,216.5000,216.4600,216.5000,22394
2018-08-21 12:42:00,216.4122,216.4699,216.4122,216.4600,13636
2018-08-21 12:41:00,216.4499,216.4499,216.4152,216.4200,10466
2018-08-21 12:40:00,216.4800,216.4800,216.4500,216.4600,15491
2018-08-21 12:39:00,216.4350,216.4600,216.4200,216.4500,18307
2018-08-21 12:38:00,216.4500,216.4500,216.4099,216.4100,19034
2018-08-21 12:37:00,216.5100,216.5100,216.3900,216.3900,18730
2018-08-21 12:36:00,216.5330,216.5330,216.4700,216.4948,23916
2018-08-21 12:35:00,216.5700,216.5800,216.5300,216.5400,21113
2018-08-21 12:34:00,216.5300,216.5900,216.5300,216.5700,17294
2018-08-21 12:33:00,216.5800,216.6100,216.5750,216.5800,25327
2018-08-21 12:32:00,216.5100,216.5700,216.5100,216.5652,17817
2018-08-21 12:31:00,216.6100,216.6100,216.5222,216.5222,26426
2018-08-21 12:30:00,216.5500,216.6200,216.5500,216.5900,29356
2018-08-21 12:29:00,216.4400,216.5200,216.4400,216.5200,34273
2018-08-21 12:28:00,216.3800,216.4400,216.3800,216.4400,36186
2018-08-21 12:27:00,216.3400,216.3848,216.3200,216.3848,21221
2018-08-21 12:26:00,216.3707,216.4100,216.3500,216.3550,34112
2018-08-21 12:25:00,216.4000,216.4000,216.3800,216.3800,13986
2018-08-21 12:24:00,216.3499,216.3901,216.3400,216.3751,26077
2018-08-21 12:23:00,216.1800,216.3400,216.1800,216.3101,107663
2018-08-21 12:22:00,216.1500,216.2703,216.1300,216.2000,48822
2018-08-21 12:21:00,216.1400,216.1800,216.1301,216.1400,38358
2018-08-21 12:20:00,216.2800,216.2800,216.1700,216.1700,73696
2018-08-21 12:19:00,216.3300,216.3300,216.2700,216.2800,67745
2018-08-21 12:18:00,216.4150,216.4150,216.3300,216.3300,43372
